,Census Name,Code
363,"Laconia, NH Micro Area",32916
364,"Lafayette, LA Metro Area",32951
365,"Lafayette-West Lafayette, IN Metro Area",32878
366,"Lake Charles, LA Metro Area",31205
367,"Lake City, FL Micro Area",35980
368,"Lake Havasu City-Kingman, AZ Metro Area",32132
369,"Lake Havasu City-Kingman, AZ Metro Area",32297
370,"Lancaster, PA Metro Area",33032
371,"Lansing-East Lansing, MI Metro Area",32884
372,"Laramie, WY Micro Area",32888
373,"Laredo, TX Metro Area",33038
374,"Las Cruces, NM Metro Area",33072
375,"Las Vegas, NM Micro Area",33120
376,"Las Vegas-Henderson-Paradise, NV Metro Area",32211
377,"Laurel, MS Micro Area",33106
378,"Lawrence, KS Metro Area",33122
379,"Lawrenceburg, TN Micro Area",33123
380,"Lebanon, MO Micro Area",33001
381,"Levelland, TX Micro Area",34375
382,"Lewisburg, TN Micro Area",35272
383,"Lewiston, ID-WA Metro Area",33127
384,"Lewiston-Auburn, ME Metro Area",32944
385,"Lexington, NE Micro Area",33132
386,"Lexington-Fayette, KY Metro Area",32945
387,"Liberal, KS Micro Area",32902
388,"Lima, OH Metro Area",30317
389,"Lincoln, IL Micro Area",32308
390,"Lincoln, NE Metro Area",33029
391,"Little Rock-North Little Rock-Conway, AR Metro Area",30346
392,"Little Rock-North Little Rock-Conway, AR Metro Area",32600
393,"Lock Haven, PA Micro Area",32974
394,"Logan, UT-ID Metro Area",32965
395,"Longview, TX Metro Area",31905
396,"Los Alamos, NM Micro Area",32883
397,"Los Angeles-Long Beach-Anaheim, CA Metro Area",30297
398,"Los Angeles-Long Beach-Anaheim, CA Metro Area",32575
399,"Louisville/Jefferson County, KY-IN Metro Area",33044
400,"Lubbock, TX Metro Area",32896
401,"Ludington, MI Micro Area",32927
402,"Lufkin, TX Micro Area",32948
403,"Lumberton, NC Micro Area",32906
404,"Lynchburg, VA Metro Area",33139
405,"Macomb, IL Micro Area",33452
406,"Macon-Bibb County, GA Metro Area",33155
407,"Madera, CA Metro Area",33157
408,"Madison, WI Metro Area",33485
409,"Madisonville, KY Micro Area",32863
410,"Malone, NY Micro Area",36885
